@relation 'statAttr-weka.filters.unsupervised.attribute.Remove-R1-5,7-8,14-16,18-19'

@attribute PMI(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute novel(B) numeric
@attribute label {important,unimportant}

@data
3.924299,0.013575,0.001577,0.648168,0.380389,0,1,unimportant
0.543961,0.000902,0.001933,0.350728,0.206596,0,1,unimportant
-1.172319,0.001239,0.002227,0.376962,0.096918,0,1,unimportant
2.051014,0.004744,0.001029,0.509624,0.192811,0,1,unimportant
1.33581,0.008861,0.000635,0.570445,0.163483,0,1,unimportant
0.280814,0.000118,0.008182,0.158539,0.335418,0,1,unimportant
-0.513743,0.000392,0.000178,0.272604,0,0,1,unimportant
1.287096,0.000472,0.001114,0.290686,0.138514,0,1,unimportant
1.10416,0.000919,0.005404,0.350488,0.300969,0,1,unimportant
1.208093,0.001384,0.002876,0.392805,0.291145,0,1,unimportant
1.623158,0.000834,0.005131,0.340664,0.267958,0,1,unimportant
-0.061538,0.000216,0.001885,0.215744,0.144495,0,1,unimportant
-0.049721,0.004071,0.000106,0.499376,0,0,1,unimportant
1.744586,0.00043,0.003286,0.281581,0.272783,0,1,unimportant
-1.00006,0.000071,0.003743,0.110353,0.174839,0,1,unimportant
0.024533,0.000483,0.001094,0.290732,0.07493,0,1,unimportant
2.088872,0.000292,0.005574,0.244421,0.319051,0,1,unimportant
-1.527452,0.000494,0.000841,0.291147,0,0,1,unimportant
0.00883,0.000105,0.001101,0.147439,0.00537,0,1,unimportant
?,0.000055,0.001489,0.086964,0,0,1,unimportant
0.091033,0.000546,0.001055,0.30238,0.080795,1,1,unimportant
3.176276,0.000395,0.011013,0.273288,0.427585,0,1,unimportant
-2.255644,0.000126,0.00006,0.164741,0,0,1,unimportant
0.255843,0.000378,0.006121,0.266028,0.215039,0,1,unimportant
1.713337,0.000179,0.004444,0.197953,0.258786,0,1,unimportant
1.501865,0.000173,0.006529,0.193263,0.21407,0,1,unimportant
1.5884,0.000039,0.013491,0.055105,0.319704,0,0,unimportant
