@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
1,18,0.5,0.5625,0.279476,1.633126,0,0.264853,0.000978,0.004986,0.273732,0.401592,1,1,2182,480,1,5,1,important
2,18,0.333333,0.473684,1.994937,2.655439,0.346574,0,0.016495,0.006669,0.613409,0.465939,0,0,785,273,1,1,1,important
2,3,1,0.6,4.383954,3.252697,0,0,0.004149,0.002915,0.518158,0.476334,0,0,72,49,1,3,4,important
86,3,0.834951,0.375,5.770249,0.877791,0.031677,0,0.089704,0.003029,0.783326,0.371882,0,0,774,278,1,1,15,important
1,9,0.333333,0.45,1.355432,2.015935,0,0,0.000958,0.004592,0.302254,0.420492,0,0,744,387,1,1,1,important
1,6,0.5,0.4,2.383977,2.639014,0,0,0.001513,0.003132,0.382227,0.421452,0,0,266,141,1,1,1,important
1,1,1,0.5,3.304034,1.767312,0,0,0.001927,0.001431,0.433146,0.389592,0,0,106,76,1,8,2,important
1,6,0.142857,0.75,3.062198,3.317236,0,0.289188,0.001894,0.002853,0.428566,0.450261,0,0,135,78,1,1,1,important
1,5,1,0.454545,0.929567,1.002283,0,0,0.000735,0.002728,0.257974,0.344199,0,0,1139,315,1,7,7,important
1,8,0.2,0.615385,-0.532574,0.010145,0,0,0.000425,0.001593,0.168833,0.209364,0,0,4915,1564,0,1,4,unimportant
1,1,0.333333,0.142857,2.512152,0.97543,0,0,0.001605,0.000454,0.392791,0.235653,0,0,234,141,1,8,25,unimportant
3,2,0.3,0.285714,-0.025359,-1.967546,0.318257,0.346574,0.001034,0.000359,0.261906,0.000945,0,0,8879,1933,1,1,1,unimportant
2,2,1,1,1.397291,-0.139431,0,0.346574,0.001175,0.00122,0.299435,0.233597,0,0,1427,549,1,12,7,unimportant
1,2,0.125,0.5,3.163452,2.319877,0,0,0.00189,0.000949,0.428077,0.345726,0,0,122,64,1,4,10,unimportant
1,1,1,0.25,0.31303,-1.223692,0,0,0.000471,0.00027,0.193748,0.028818,0,0,2110,697,1,11,4,unimportant
1,1,0.5,1,2.486834,0.950112,0,0,0.003252,0.000455,0.46437,0.238314,0,0,240,142,1,7,3,unimportant
1,2,0.5,1,0.546296,-0.297279,0,0,0.001167,0.000607,0.298428,0.147132,0,0,1671,527,1,1,14,unimportant
4,1,0.444444,1,0.872823,-2.050193,0.346574,0,0.001195,0.000347,0.282095,0.01625,0,0,4822,1483,1,1,21,unimportant
2,6,0.4,0.3,-0.393534,-0.831644,0,0,0.000726,0.001063,0.223488,0.141892,1,1,8554,1613,1,1,12,unimportant
1,1,1,1,-0.687741,-2.224463,0,0,0.000184,0.000427,0.076458,0.031527,0,0,5740,817,1,10,16,unimportant
